x_est,y_est,th_est,x_gt,y_gt,th_gt,pos_err
3.085624,-1.891978,0.250120,3.457114,-2.148437,1.487204,0.451416
3.087423,-1.891518,0.250163,3.457203,-2.147371,1.487228,0.449664
3.089105,-1.891088,0.250205,3.457422,-2.144754,1.487290,0.447218
3.089646,-1.890950,0.250219,3.457516,-2.143633,1.487318,0.446293
3.091998,-1.890340,0.257628,3.457594,-2.142710,1.487729,0.444243
3.095163,-1.889477,0.274553,3.457729,-2.141059,1.494680,0.441302
3.098667,-1.888466,0.286857,3.457943,-2.137811,1.510566,0.437323
3.103997,-1.886890,0.288302,3.458178,-2.133217,1.523895,0.431418
3.109466,-1.885268,0.288377,3.458421,-2.127988,1.524496,0.425067
3.110674,-1.884910,0.288389,3.458421,-2.127988,1.524496,0.424281
3.117671,-1.882834,0.288464,3.458772,-2.120404,1.524581,0.415680
3.123142,-1.881210,0.288527,3.459078,-2.113785,1.524650,0.408588
3.126256,-1.880286,0.288563,3.459364,-2.107583,1.524718,0.403267
3.130179,-1.879121,0.288613,3.459487,-2.104914,1.524749,0.399282
3.134402,-1.877867,0.288666,3.459765,-2.098875,1.524821,0.393326
3.135767,-1.877462,0.288683,3.459765,-2.098875,1.524821,0.392426
3.140561,-1.876038,0.288747,3.459940,-2.095059,1.524868,0.387264
3.144670,-1.874817,0.288805,3.460087,-2.091868,1.524910,0.382882
3.148161,-1.873780,0.288856,3.460420,-2.084610,1.525006,0.376769
3.151482,-1.872793,0.288906,3.460600,-2.080675,1.525063,0.372517
3.154626,-1.871858,0.288956,3.460686,-2.078793,1.525091,0.369452
3.157626,-1.870966,0.289005,3.460899,-2.074131,1.525162,0.365035
3.160482,-1.870117,0.289054,3.461038,-2.071090,1.525211,0.361558
3.163201,-1.869308,0.289102,3.461112,-2.069470,1.525238,0.358909
3.166346,-1.868373,0.289161,3.461309,-2.065144,1.525313,0.354573
3.168786,-1.867647,0.289208,3.461402,-2.063104,1.525350,0.351891
3.171108,-1.866956,0.289255,3.461491,-2.061142,1.525387,0.349329
3.173312,-1.866300,0.289302,3.461613,-2.058463,1.525439,0.346473
