x_est,y_est,th_est,x_gt,y_gt,th_gt,pos_err
2.577315,-1.715897,1.012652,2.567625,-2.226675,0.908558,0.510870
2.577315,-1.715897,1.012652,2.567625,-2.226675,0.908558,0.510870
2.577315,-1.715897,1.012652,2.567625,-2.226675,0.908558,0.510870
2.577315,-1.715897,1.012652,2.567625,-2.226675,0.908558,0.510870
2.577315,-1.715897,1.012652,2.567625,-2.226675,0.908558,0.510870
2.577315,-1.715897,1.012652,2.567625,-2.226675,0.908558,0.510870
2.577315,-1.715897,1.012652,2.567625,-2.226675,0.908558,0.510870
2.577243,-1.716049,1.250423,2.568095,-2.227097,1.118637,0.511130
2.577243,-1.716049,1.250423,2.568095,-2.227097,1.118637,0.511130
2.577243,-1.716049,1.250423,2.568095,-2.227097,1.118637,0.511130
2.577243,-1.716049,1.250423,2.568095,-2.227097,1.118637,0.511130
2.577243,-1.716049,1.250423,2.568095,-2.227097,1.118637,0.511130
2.577243,-1.716049,1.250423,2.568095,-2.227097,1.118637,0.511130
2.577243,-1.716049,1.250423,2.568095,-2.227097,1.118637,0.511130
2.577195,-1.716279,1.474321,2.570639,-2.227912,1.322872,0.511675
2.577195,-1.716279,1.474321,2.570639,-2.227912,1.322872,0.511675
2.577195,-1.716279,1.474321,2.570639,-2.227912,1.322872,0.511675
2.577195,-1.716279,1.474321,2.570639,-2.227912,1.322872,0.511675
2.577195,-1.716279,1.474321,2.570639,-2.227912,1.322872,0.511675
2.577195,-1.716279,1.474321,2.570639,-2.227912,1.322872,0.511675
2.577195,-1.716279,1.474321,2.570639,-2.227912,1.322872,0.511675
2.577154,-1.712894,1.691346,2.572834,-2.226150,1.511155,0.513274
2.577154,-1.712894,1.691346,2.572834,-2.226150,1.511155,0.513274
2.577154,-1.712894,1.691346,2.572834,-2.226150,1.511155,0.513274
2.577154,-1.712894,1.691346,2.572834,-2.226150,1.511155,0.513274
2.577154,-1.712894,1.691346,2.572834,-2.226150,1.511155,0.513274
2.577154,-1.712894,1.691346,2.572834,-2.226150,1.511155,0.513274
2.577154,-1.712894,1.691346,2.572834,-2.226150,1.511155,0.513274
2.561322,-1.593116,1.713080,2.656462,-2.149882,1.531343,0.564836
2.561322,-1.593116,1.713080,2.656462,-2.149882,1.531343,0.564836
2.561322,-1.593116,1.713080,2.656462,-2.149882,1.531343,0.564836
2.561322,-1.593116,1.713080,2.656462,-2.149882,1.531343,0.564836
2.561322,-1.593116,1.713080,2.656462,-2.149882,1.531343,0.564836
2.561322,-1.593116,1.713080,2.656462,-2.149882,1.531343,0.564836
2.561322,-1.593116,1.713080,2.656462,-2.149882,1.531343,0.564836
2.542278,-1.460099,1.712924,2.749525,-2.064857,1.531196,0.639284
2.542278,-1.460099,1.712924,2.749525,-2.064857,1.531196,0.639284
2.542278,-1.460099,1.712924,2.749525,-2.064857,1.531196,0.639284
2.542278,-1.460099,1.712924,2.749525,-2.064857,1.531196,0.639284
2.542278,-1.460099,1.712924,2.749525,-2.064857,1.531196,0.639284
2.542278,-1.460099,1.712924,2.749525,-2.064857,1.531196,0.639284
2.542278,-1.460099,1.712924,2.749525,-2.064857,1.531196,0.639284
2.524923,-1.345962,1.730462,2.829414,-1.991909,1.547475,0.714117
2.524923,-1.345962,1.730462,2.829414,-1.991909,1.547475,0.714117
2.524923,-1.345962,1.730462,2.829414,-1.991909,1.547475,0.714117
2.524923,-1.345962,1.730462,2.829414,-1.991909,1.547475,0.714117
2.524923,-1.345962,1.730462,2.829414,-1.991909,1.547475,0.714117
2.524923,-1.345962,1.730462,2.829414,-1.991909,1.547475,0.714117
2.524828,-1.345596,1.919602,2.829658,-1.991684,1.709474,0.714389
2.524828,-1.345596,1.919602,2.829658,-1.991684,1.709474,0.714389
2.524828,-1.345596,1.919602,2.829658,-1.991684,1.709474,0.714389
2.524828,-1.345596,1.919602,2.829658,-1.991684,1.709474,0.714389
2.524828,-1.345596,1.919602,2.829658,-1.991684,1.709474,0.714389
2.524828,-1.345596,1.919602,2.829658,-1.991684,1.709474,0.714389
2.524828,-1.345596,1.919602,2.829658,-1.991684,1.709474,0.714389
2.524720,-1.345370,2.111097,2.829570,-1.991391,1.875025,0.714336
2.524720,-1.345370,2.111097,2.829570,-1.991391,1.875025,0.714336
2.524720,-1.345370,2.111097,2.829570,-1.991391,1.875025,0.714336
2.524720,-1.345370,2.111097,2.829570,-1.991391,1.875025,0.714336
2.524720,-1.345370,2.111097,2.829570,-1.991391,1.875025,0.714336
2.524720,-1.345370,2.111097,2.829570,-1.991391,1.875025,0.714336
2.524720,-1.345370,2.111097,2.829570,-1.991391,1.875025,0.714336
2.524660,-1.345292,2.348127,2.828989,-1.992649,2.093688,0.715323
2.524660,-1.345292,2.348127,2.828989,-1.992649,2.093688,0.715323
2.524660,-1.345292,2.348127,2.828989,-1.992649,2.093688,0.715323
2.524660,-1.345292,2.348127,2.828989,-1.992649,2.093688,0.715323
2.524660,-1.345292,2.348127,2.828989,-1.992649,2.093688,0.715323
2.524660,-1.345292,2.348127,2.828989,-1.992649,2.093688,0.715323
2.524660,-1.345292,2.348127,2.828989,-1.992649,2.093688,0.715323
2.495811,-1.321168,2.542178,2.832004,-1.960536,2.275093,0.722368
2.495811,-1.321168,2.542178,2.832004,-1.960536,2.275093,0.722368
2.495811,-1.321168,2.542178,2.832004,-1.960536,2.275093,0.722368
2.495811,-1.321168,2.542178,2.832004,-1.960536,2.275093,0.722368
2.495811,-1.321168,2.542178,2.832004,-1.960536,2.275093,0.722368
2.495811,-1.321168,2.542178,2.832004,-1.960536,2.275093,0.722368
2.495811,-1.321168,2.542178,2.832004,-1.960536,2.275093,0.722368
2.384480,-1.245150,2.542817,2.843074,-1.832612,2.275730,0.745265
2.384480,-1.245150,2.542817,2.843074,-1.832612,2.275730,0.745265
2.384480,-1.245150,2.542817,2.843074,-1.832612,2.275730,0.745265
2.384480,-1.245150,2.542817,2.843074,-1.832612,2.275730,0.745265
2.384480,-1.245150,2.542817,2.843074,-1.832612,2.275730,0.745265
2.384480,-1.245150,2.542817,2.843074,-1.832612,2.275730,0.745265
2.384480,-1.245150,2.542817,2.843074,-1.832612,2.275730,0.745265
2.273086,-1.169187,2.543378,2.853910,-1.706597,2.276255,0.791306
2.273086,-1.169187,2.543378,2.853910,-1.706597,2.276255,0.791306
2.273086,-1.169187,2.543378,2.853910,-1.706597,2.276255,0.791306
2.273086,-1.169187,2.543378,2.853910,-1.706597,2.276255,0.791306
2.273086,-1.169187,2.543378,2.853910,-1.706597,2.276255,0.791306
2.273086,-1.169187,2.543378,2.853910,-1.706597,2.276255,0.791306
2.273086,-1.169187,2.543378,2.853910,-1.706597,2.276255,0.791306
2.207803,-1.128555,2.626345,2.859969,-1.634634,2.348875,0.825491
2.207803,-1.128555,2.626345,2.859969,-1.634634,2.348875,0.825491
2.207803,-1.128555,2.626345,2.859969,-1.634634,2.348875,0.825491
2.207803,-1.128555,2.626345,2.859969,-1.634634,2.348875,0.825491
2.207803,-1.128555,2.626345,2.859969,-1.634634,2.348875,0.825491
2.207803,-1.128555,2.626345,2.859969,-1.634634,2.348875,0.825491
2.207803,-1.128555,2.626345,2.859969,-1.634634,2.348875,0.825491
2.207810,-1.128558,2.848686,2.860044,-1.634644,2.538706,0.825550
2.207810,-1.128558,2.848686,2.860044,-1.634644,2.538706,0.825550
2.207810,-1.128558,2.848686,2.860044,-1.634644,2.538706,0.825550
2.207810,-1.128558,2.848686,2.860044,-1.634644,2.538706,0.825550
2.207810,-1.128558,2.848686,2.860044,-1.634644,2.538706,0.825550
2.207810,-1.128558,2.848686,2.860044,-1.634644,2.538706,0.825550
2.207810,-1.128558,2.848686,2.860044,-1.634644,2.538706,0.825550
2.207966,-1.128586,3.074013,2.860626,-1.633702,2.740710,0.825292
2.207966,-1.128586,3.074013,2.860626,-1.633702,2.740710,0.825292
2.207966,-1.128586,3.074013,2.860626,-1.633702,2.740710,0.825292
2.207966,-1.128586,3.074013,2.860626,-1.633702,2.740710,0.825292
2.207966,-1.128586,3.074013,2.860626,-1.633702,2.740710,0.825292
2.207966,-1.128586,3.074013,2.860626,-1.633702,2.740710,0.825292
2.207966,-1.128586,3.074013,2.860626,-1.633702,2.740710,0.825292
2.208213,-1.128577,-2.996770,2.861311,-1.632651,2.929159,0.825002
2.208213,-1.128577,-2.996770,2.861311,-1.632651,2.929159,0.825002
2.208213,-1.128577,-2.996770,2.861311,-1.632651,2.929159,0.825002
2.208213,-1.128577,-2.996770,2.861311,-1.632651,2.929159,0.825002
2.208213,-1.128577,-2.996770,2.861311,-1.632651,2.929159,0.825002
2.208213,-1.128577,-2.996770,2.861311,-1.632651,2.929159,0.825002
2.208213,-1.128577,-2.996770,2.861311,-1.632651,2.929159,0.825002
2.208255,-1.128570,-2.960995,2.861402,-1.632697,2.961805,0.825073
2.208255,-1.128570,-2.960995,2.861402,-1.632697,2.961805,0.825073
2.208255,-1.128570,-2.960995,2.861402,-1.632697,2.961805,0.825073
2.208255,-1.128570,-2.960995,2.861402,-1.632697,2.961805,0.825073
