x_est,y_est,th_est,x_gt,y_gt,th_gt,pos_err
2.000000,-2.000000,-0.000000,2.000000,-2.000000,-0.000000,0.000000
2.000000,-2.000000,-0.000000,2.000000,-2.000000,-0.000000,0.000000
2.000000,-2.000000,-0.000000,2.000000,-2.000000,-0.000000,0.000000
2.000000,-2.000000,-0.000000,2.000000,-2.000000,-0.000000,0.000000
2.000000,-2.000000,-0.000000,2.000000,-2.000000,-0.000000,0.000000
2.000000,-2.000000,-0.000000,2.000000,-2.000000,-0.000000,0.000000
2.000000,-2.000000,-0.000000,2.000000,-2.000000,-0.000000,0.000000
2.096238,-1.999996,0.000084,2.000000,-2.000000,-0.000000,0.096238
2.096238,-1.999996,0.000084,2.000000,-2.000000,-0.000000,0.096238
2.096238,-1.999996,0.000084,2.000000,-2.000000,-0.000000,0.096238
2.096238,-1.999996,0.000084,2.000000,-2.000000,-0.000000,0.096238
2.096238,-1.999996,0.000084,2.000000,-2.000000,-0.000000,0.096238
2.096238,-1.999996,0.000084,2.000000,-2.000000,-0.000000,0.096238
2.096238,-1.999996,0.000084,2.000000,-2.000000,-0.000000,0.096238
2.214928,-1.999956,0.000587,2.088268,-2.008214,0.000052,0.126930
2.214928,-1.999956,0.000587,2.088268,-2.008214,0.000052,0.126930
2.214928,-1.999956,0.000587,2.088268,-2.008214,0.000052,0.126930
2.214928,-1.999956,0.000587,2.088268,-2.008214,0.000052,0.126930
2.214928,-1.999956,0.000587,2.088268,-2.008214,0.000052,0.126930
2.214928,-1.999956,0.000587,2.088268,-2.008214,0.000052,0.126930
2.214928,-1.999956,0.000587,2.088268,-2.008214,0.000052,0.126930
2.304526,-1.997961,0.043946,2.214200,-2.019879,0.000588,0.092946
2.304526,-1.997961,0.043946,2.214200,-2.019879,0.000588,0.092946
2.304526,-1.997961,0.043946,2.214200,-2.019879,0.000588,0.092946
2.304526,-1.997961,0.043946,2.214200,-2.019879,0.000588,0.092946
2.304526,-1.997961,0.043946,2.214200,-2.019879,0.000588,0.092946
